yearsofexperience,yearsatcompany,region,salary_level
10.0,1.0,1,6
7.0,2.0,1,6
4.0,4.0,1,6
1.0,1.0,1,4
0.0,0.0,1,4
4.0,2.0,1,6
12.0,4.0,1,7
9.0,2.0,1,7
12.0,1.0,1,7
7.0,2.0,1,6
6.0,2.0,1,6
10.0,4.0,1,7
9.0,9.0,1,8
7.0,2.0,1,5
23.0,4.0,1,6
5.0,3.0,1,6
3.0,0.0,1,5
20.0,9.0,1,8
5.0,4.0,1,5
5.0,5.0,1,6
9.0,2.0,1,5
3.0,3.0,1,5
10.0,3.0,1,8
4.0,0.0,1,5
9.0,1.0,1,5
3.0,2.0,1,6
8.0,4.0,1,6
4.0,2.0,1,4
2.0,0.0,1,6
5.0,3.0,1,7
0.0,0.0,1,5
15.0,3.0,1,8
9.0,2.0,1,6
10.0,4.0,1,6
5.0,1.0,1,5
10.0,6.0,1,6
7.0,5.0,1,5
6.0,4.0,1,4
9.0,6.0,1,5
0.0,0.0,1,5
0.0,0.0,1,3
17.0,5.0,1,7
6.0,1.0,1,6
1.0,0.0,1,5
4.0,3.0,1,4
20.0,10.0,1,7
1.0,0.0,1,4
6.0,6.0,1,5
2.0,2.0,1,5
10.0,1.0,1,6
1.0,0.0,1,7
1.0,1.0,1,5
5.0,2.0,1,6
3.0,2.0,1,6
17.0,17.0,1,6
3.0,2.0,1,5
7.0,7.0,1,6
6.0,2.0,1,4
1.0,1.0,1,5
0.0,0.0,1,5
10.0,4.0,1,5
6.0,4.0,1,5
0.0,0.0,1,4
10.0,2.0,1,6
3.0,3.0,1,7
20.0,14.0,1,8
5.0,1.0,1,6
2.0,2.0,1,5
7.0,4.0,1,5
2.0,1.0,1,8
15.0,15.0,1,7
7.0,5.0,1,8
2.0,0.0,1,5
5.0,5.0,1,7
1.0,1.0,1,5
12.0,3.0,1,6
1.0,1.0,1,5
1.0,0.0,1,3
13.0,3.0,1,6
1.0,1.0,1,5
14.0,1.0,1,6
8.0,1.0,1,5
6.0,0.0,1,6
0.0,0.0,1,6
15.0,10.0,1,7
9.0,0.0,1,7
7.0,5.0,1,6
17.0,11.0,1,6
2.0,2.0,1,5
15.0,10.0,1,6
8.0,2.0,1,6
14.0,4.0,1,7
15.0,15.0,1,7
5.0,3.0,1,6
10.0,1.0,1,7
5.0,0.0,1,7
15.0,15.0,1,7
5.0,3.0,1,7
1.0,1.0,1,4
13.0,4.0,1,7
7.0,7.0,1,7
20.0,6.0,1,6
0.0,0.0,1,7
3.0,2.0,1,5
7.0,7.0,1,4
16.0,4.0,1,5
7.0,3.0,1,6
10.0,1.0,1,7
2.0,1.0,1,5
3.0,3.0,1,5
10.0,0.0,1,7
2.0,2.0,1,6
5.0,2.0,1,6
14.0,4.0,1,6
6.0,2.0,1,4
2.0,0.0,1,5
15.0,1.0,1,7
4.0,1.0,1,6
2.0,2.0,1,6
13.0,8.0,1,5
5.0,0.0,1,6
6.0,2.0,1,5
6.0,0.0,1,7
2.0,0.0,1,5
0.0,0.0,1,5
7.0,7.0,1,7
2.0,2.0,1,4
5.0,2.0,1,4
1.0,0.0,1,5
5.0,2.0,1,6
8.0,3.0,1,7
0.0,0.0,1,4
6.0,2.0,1,6
2.0,2.0,1,5
0.0,0.0,1,5
17.0,1.0,1,7
5.0,2.0,1,5
8.0,6.0,1,6
4.0,0.0,1,6
4.0,2.0,1,4
8.0,1.0,1,7
3.0,1.0,1,5
23.0,20.0,1,8
2.0,2.0,1,5
4.0,3.0,1,6
5.0,5.0,1,4
0.0,0.0,1,5
10.0,5.0,1,4
0.0,0.0,1,5
12.0,1.0,1,7
8.0,0.0,1,7
3.0,0.0,1,6
15.0,4.0,1,7
5.0,3.0,1,7
5.0,2.0,1,5
5.0,2.0,1,7
0.0,0.0,1,5
12.0,2.0,1,6
2.0,0.0,1,5
0.0,0.0,1,5
2.0,0.0,1,6
5.0,5.0,1,4
10.0,5.0,1,7
0.0,0.0,1,5
5.0,3.0,1,6
0.0,0.0,1,5
15.0,15.0,1,6
4.0,0.0,1,6
1.0,1.0,1,5
7.0,4.0,1,7
6.0,2.0,1,5
4.0,1.0,1,5
9.0,4.0,1,6
5.0,5.0,1,5
6.0,0.0,1,7
11.0,6.0,1,6
8.0,6.0,1,7
9.0,3.0,1,6
3.0,0.0,1,5
12.0,4.0,1,6
11.0,3.0,1,5
10.0,10.0,1,7
9.0,1.0,1,6
5.0,1.0,1,5
5.0,4.0,1,7
0.0,0.0,1,5
8.0,0.0,1,7
10.0,0.0,1,7
6.0,1.0,1,5
15.0,15.0,1,7
6.0,2.0,1,5
9.0,8.0,1,6
18.0,6.0,1,7
9.0,9.0,1,5
6.0,0.0,1,7
3.0,1.0,1,6
1.0,1.0,1,5
0.0,0.0,1,5
2.0,2.0,1,5
2.0,0.0,1,6
3.0,0.0,1,6
10.0,3.0,1,6
19.0,7.0,1,6
20.0,9.0,1,6
8.0,5.0,1,7
2.0,1.0,1,5
7.0,1.0,1,6
0.0,0.0,1,5
1.0,1.0,1,6
2.0,2.0,1,5
2.0,1.0,1,4
13.0,5.0,1,7
10.0,0.0,1,6
9.0,2.0,1,6
5.0,1.0,1,7
5.0,1.0,1,6
2.0,0.0,1,5
10.0,6.0,1,6
10.0,2.0,1,7
7.0,3.0,1,6
13.0,3.0,1,5
2.0,0.0,1,5
11.0,3.0,1,5
3.0,0.0,1,6
6.0,0.0,1,5
3.0,3.0,1,5
2.0,0.0,1,6
10.0,1.0,1,6
9.0,1.0,1,7
10.0,3.0,1,6
10.0,0.0,1,5
8.0,2.0,1,6
1.0,0.0,1,6
2.0,1.0,1,2
1.0,0.0,1,4
10.0,1.0,1,6
15.0,0.0,1,8
13.0,2.0,1,7
5.0,1.0,1,5
2.0,2.0,1,5
3.0,0.0,1,6
18.0,9.0,1,8
5.0,1.0,1,5
5.0,5.0,1,5
16.0,5.0,1,7
3.0,2.0,1,6
6.0,5.0,1,6
10.0,3.0,1,6
9.0,3.0,1,7
1.0,1.0,1,5
6.0,5.0,1,7
7.0,3.0,1,5
13.0,9.0,1,8
0.0,0.0,1,5
8.0,0.0,1,6
3.0,1.0,1,6
5.0,2.0,1,6
35.0,10.0,1,7
1.0,1.0,1,6
7.0,1.0,1,6
2.0,2.0,1,5
8.0,4.0,1,6
2.0,0.0,1,4
2.0,2.0,1,6
1.0,1.0,1,5
1.0,1.0,1,5
10.0,2.0,1,6
5.0,0.0,1,6
7.0,1.0,1,5
2.0,2.0,1,7
8.0,5.0,1,4
3.0,1.0,1,5
4.0,1.0,1,6
5.0,2.0,1,6
2.0,2.0,1,5
3.0,2.0,1,3
3.0,0.0,1,6
5.0,0.0,1,6
3.0,0.0,1,5
20.0,6.0,1,8
2.0,2.0,1,6
10.0,7.0,1,5
3.0,3.0,1,6
6.0,0.0,1,6
13.0,7.0,1,5
12.0,2.0,1,6
5.0,2.0,1,5
12.0,4.0,1,7
1.0,1.0,1,4
12.0,1.0,1,7
5.0,3.0,1,6
9.0,2.0,1,7
12.0,3.0,1,5
3.0,3.0,1,6
4.0,0.0,1,6
12.0,5.0,1,7
2.0,2.0,1,6
3.0,0.0,1,6
15.0,5.0,1,7
15.0,6.0,1,9
6.0,1.0,1,7
8.0,5.0,1,6
0.0,0.0,1,5
2.0,0.0,1,5
0.0,0.0,1,4
8.0,3.0,1,6
6.0,0.0,1,6
7.0,1.0,1,6
0.0,0.0,1,6
2.0,2.0,1,6
10.0,4.0,1,5
2.0,0.0,1,6
14.0,14.0,1,9
15.0,1.0,1,7
5.0,5.0,1,5
12.0,3.0,1,6
8.0,3.0,1,7
10.0,1.0,1,6
8.0,5.0,1,6
5.0,0.0,1,6
2.0,0.0,1,5
0.0,0.0,1,5
14.0,5.0,1,7
2.0,2.0,1,4
1.0,0.0,1,5
1.0,1.0,1,4
2.0,2.0,1,5
16.0,1.0,1,8
2.0,2.0,1,6
7.0,0.0,1,6
0.0,0.0,1,4
9.0,1.0,1,4
10.0,0.0,1,6
0.0,0.0,1,6
8.0,5.0,1,7
2.0,0.0,1,4
1.0,1.0,1,4
4.0,1.0,1,7
10.0,2.0,1,6
5.0,5.0,1,6
1.0,0.0,1,5
1.0,0.0,1,3
0.0,0.0,1,5
4.0,0.0,1,5
9.0,4.0,1,6
7.0,0.0,1,7
13.0,1.0,1,8
3.0,3.0,1,6
6.0,6.0,1,4
9.0,2.0,1,6
3.0,0.0,1,7
3.0,1.0,1,6
10.0,7.0,1,6
20.0,1.0,1,9
7.0,4.0,1,6
5.0,5.0,1,4
20.0,15.0,1,7
18.0,0.0,1,6
6.0,0.0,1,6
2.0,2.0,1,7
15.0,1.0,1,6
12.0,2.0,1,8
1.0,1.0,1,5
6.0,6.0,1,6
3.0,3.0,1,5
4.0,0.0,1,6
5.0,1.0,1,5
3.0,3.0,1,7
17.0,8.0,1,7
4.0,2.0,1,5
8.0,2.0,1,7
4.0,3.0,1,5
10.0,4.0,1,6
13.0,2.0,1,7
10.0,0.0,1,8
20.0,3.0,1,6
6.0,2.0,1,7
2.0,0.0,1,6
18.0,3.0,1,7
10.0,10.0,1,8
5.0,2.0,1,6
10.0,10.0,1,6
0.0,0.0,1,4
11.0,0.0,1,7
0.0,0.0,1,5
10.0,8.0,1,6
3.0,1.0,1,7
9.0,5.0,1,7
9.0,3.0,1,5
4.0,4.0,1,5
8.0,8.0,1,6
12.0,8.0,1,7
2.0,2.0,1,4
9.0,1.0,1,6
2.0,0.0,1,5
0.0,0.0,1,5
10.0,2.0,1,7
10.0,3.0,1,7
3.0,3.0,1,6
2.0,2.0,1,5
13.0,2.0,1,7
3.0,1.0,1,5
7.0,4.0,1,6
2.0,2.0,1,5
1.0,0.0,1,4
9.0,5.0,1,7
20.0,6.0,1,7
4.0,0.0,1,7
6.0,4.0,1,6
2.0,2.0,1,5
15.0,5.0,1,7
2.0,2.0,1,6
15.0,6.0,1,6
14.0,4.0,1,7
0.0,0.0,1,5
3.0,0.0,1,7
10.0,2.0,1,7
0.0,0.0,1,4
0.0,0.0,1,4
0.0,0.0,1,4
5.0,0.0,1,6
4.0,0.0,1,7
1.0,0.0,1,5
6.0,1.0,1,6
1.0,0.0,1,6
2.0,0.0,1,5
0.0,0.0,1,5
2.0,0.0,1,5
12.0,3.0,1,6
7.0,1.0,1,7
2.0,2.0,1,5
2.0,2.0,1,5
16.0,8.0,1,7
5.0,0.0,1,6
6.0,2.0,1,6
0.0,0.0,1,4
15.0,0.0,1,7
0.0,0.0,1,4
0.0,0.0,1,5
5.0,4.0,1,7
25.0,4.0,1,8
6.0,3.0,1,5
7.0,7.0,1,6
20.0,3.0,1,6
3.0,3.0,1,4
6.0,5.0,1,5
6.0,4.0,1,6
10.0,4.0,1,7
3.0,0.0,1,5
6.0,4.0,1,6
8.0,0.0,1,6
2.0,1.0,1,5
3.0,0.0,1,6
5.0,5.0,1,8
0.0,0.0,1,5
2.0,2.0,1,6
5.0,0.0,1,6
2.0,2.0,1,4
7.0,7.0,1,6
4.0,0.0,1,7
12.0,10.0,1,6
7.0,7.0,1,7
5.0,2.0,1,6
8.0,5.0,1,3
7.0,0.0,1,7
16.0,4.0,1,7
0.0,0.0,1,4
14.0,0.0,1,6
7.0,0.0,1,6
8.0,0.0,1,8
10.0,2.0,1,7
20.0,4.0,1,7
4.0,1.0,1,6
20.0,4.0,1,7
5.0,1.0,1,5
4.0,0.0,1,6
6.0,5.0,1,7
10.0,2.0,1,7
0.0,0.0,1,7
0.0,0.0,1,5
9.0,2.0,1,6
15.0,2.0,1,7
0.0,0.0,1,5
5.0,2.0,1,6
7.0,3.0,1,5
6.0,6.0,1,5
3.0,0.0,1,5
2.0,2.0,1,5
4.0,4.0,1,6
10.0,4.0,1,7
3.0,3.0,1,6
6.0,3.0,1,5
4.0,4.0,1,6
2.0,0.0,1,6
3.0,2.0,1,5
3.0,3.0,1,5
0.0,0.0,1,4
2.0,0.0,1,5
5.0,2.0,1,6
7.0,5.0,1,6
14.0,4.0,1,6
14.0,4.0,1,7
3.0,3.0,1,5
20.0,3.0,1,8
18.0,2.0,1,6
10.0,4.0,1,5
10.0,4.0,1,4
3.0,3.0,1,7
7.0,3.0,1,6
0.0,0.0,1,5
1.0,1.0,1,5
12.0,1.0,1,7
8.0,2.0,1,6
5.0,5.0,1,5
7.0,4.0,1,7
12.0,3.0,1,7
2.0,2.0,1,6
1.0,0.0,1,5
3.0,0.0,1,5
2.0,0.0,1,6
1.0,0.0,1,4
6.0,6.0,1,6
5.0,0.0,1,6
0.0,0.0,1,5
6.0,3.0,1,6
10.0,10.0,1,7
5.0,5.0,1,6
2.0,1.0,1,6
10.0,4.0,1,6
2.0,2.0,1,4
2.0,2.0,1,6
4.0,0.0,1,6
4.0,0.0,1,7
9.0,2.0,1,5
5.0,0.0,1,6
3.0,0.0,1,6
5.0,0.0,1,6
4.0,2.0,1,5
10.0,4.0,1,7
7.0,0.0,1,6
5.0,5.0,1,6
0.0,0.0,1,4
6.0,4.0,1,6
3.0,0.0,1,7
12.0,10.0,1,8
0.0,0.0,1,5
3.0,0.0,1,5
5.0,3.0,1,7
6.0,0.0,1,7
15.0,6.0,1,6
10.0,4.0,1,7
7.0,0.0,1,7
5.0,2.0,1,7
15.0,8.0,1,8
1.0,1.0,1,5
1.0,0.0,1,5
5.0,0.0,1,5
2.0,0.0,1,6
12.0,2.0,1,6
3.0,1.0,1,5
6.0,1.0,1,5
4.0,0.0,1,5
10.0,0.0,1,7
6.0,3.0,1,6
10.0,0.0,1,7
8.0,3.0,1,4
5.0,2.0,1,5
4.0,0.0,1,6
3.0,3.0,1,6
8.0,0.0,1,6
2.0,2.0,1,5
16.0,16.0,1,8
5.0,5.0,1,7
15.0,11.0,1,4
0.0,0.0,1,5
8.0,4.0,1,6
4.0,3.0,1,6
8.0,2.0,1,5
9.0,3.0,1,7
4.0,2.0,1,7
16.0,4.0,1,7
11.0,7.0,1,7
10.0,3.0,1,4
7.0,2.0,1,6
3.0,3.0,1,5
2.0,0.0,1,6
8.0,3.0,1,7
10.0,5.0,1,6
4.0,1.0,1,5
3.0,0.0,1,8
4.0,0.0,1,6
3.0,0.0,1,6
3.0,0.0,1,5
4.0,2.0,1,5
9.0,6.0,1,8
10.0,4.0,1,5
2.0,0.0,1,6
15.0,10.0,1,7
2.0,0.0,1,5
2.0,2.0,1,4
6.0,2.0,1,7
8.0,7.0,1,8
2.0,0.0,1,5
5.0,2.0,1,5
5.0,0.0,1,6
12.0,6.0,1,6
10.0,8.0,1,7
1.0,0.0,1,5
12.0,1.0,1,7
2.0,0.0,1,6
5.0,5.0,1,7
2.0,1.0,1,6
16.0,3.0,1,8
15.0,3.0,1,8
2.0,2.0,1,5
10.0,2.0,1,8
20.0,15.0,1,8
7.0,4.0,1,7
2.0,0.0,1,5
20.0,4.0,1,7
4.0,0.0,1,7
8.0,7.0,1,6
4.0,0.0,1,6
2.0,2.0,1,6
10.0,6.0,1,7
3.0,3.0,1,5
12.0,6.0,1,7
2.0,2.0,1,5
6.0,5.0,1,5
1.0,0.0,1,6
3.0,0.0,1,4
3.0,3.0,1,6
6.0,2.0,1,6
8.0,8.0,1,6
5.0,2.0,1,7
15.0,8.0,1,8
8.0,4.0,1,6
7.0,7.0,1,6
15.0,3.0,1,8
0.0,0.0,1,4
2.0,2.0,1,5
11.0,5.0,1,8
7.0,0.0,1,6
0.0,0.0,1,5
2.0,2.0,1,5
9.0,9.0,1,4
8.0,0.0,1,6
1.0,0.0,1,5
11.0,7.0,1,6
14.0,4.0,1,8
2.0,1.0,1,6
5.0,3.0,1,7
20.0,8.0,1,7
16.0,5.0,1,8
14.0,2.0,1,5
3.0,0.0,1,6
1.0,0.0,1,6
8.0,1.0,1,5
5.0,5.0,1,7
5.0,0.0,1,7
5.0,0.0,1,7
8.0,4.0,1,8
0.0,0.0,1,6
4.0,3.0,1,6
2.0,2.0,1,4
4.0,0.0,1,5
2.0,0.0,1,7
5.0,1.0,1,5
5.0,3.0,1,5
17.0,1.0,1,7
10.0,3.0,1,8
7.0,3.0,1,7
15.0,4.0,1,7
3.0,3.0,1,6
1.0,0.0,1,5
4.0,4.0,1,4
12.0,7.0,1,6
4.0,1.0,1,6
7.0,0.0,1,8
3.0,3.0,1,6
1.0,0.0,1,5
5.0,5.0,1,6
0.0,0.0,1,5
5.0,0.0,1,6
7.0,3.0,1,6
4.0,2.0,1,5
4.0,2.0,1,7
13.0,10.0,1,4
4.0,3.0,1,4
2.0,2.0,1,5
3.0,3.0,1,7
3.0,1.0,1,5
14.0,2.0,1,6
8.0,4.0,1,4
8.0,0.0,1,7
2.0,0.0,1,6
3.0,2.0,1,6
1.0,0.0,1,5
15.0,15.0,1,7
10.0,2.0,1,6
15.0,2.0,1,6
7.0,5.0,1,6
8.0,5.0,1,7
6.0,5.0,1,5
5.0,0.0,1,6
0.0,0.0,1,4
7.0,3.0,1,7
7.0,2.0,1,6
4.0,2.0,1,5
8.0,0.0,1,6
6.0,0.0,1,6
10.0,0.0,1,7
15.0,3.0,1,7
5.0,1.0,1,6
5.0,2.0,1,6
2.0,0.0,1,6
3.0,1.0,1,6
4.0,2.0,1,6
0.0,0.0,1,5
0.0,0.0,1,4
3.0,0.0,1,5
13.0,2.0,1,6
10.0,1.0,1,7
4.0,1.0,1,6
10.0,0.0,1,6
7.0,2.0,1,5
15.0,3.0,1,7
20.0,1.0,1,6
15.0,10.0,1,6
6.0,6.0,1,7
3.0,3.0,1,7
11.0,7.0,1,8
10.0,0.0,1,7
0.0,0.0,1,4
0.0,0.0,1,5
6.0,0.0,1,7
5.0,0.0,1,6
9.0,0.0,1,6
9.0,0.0,1,6
25.0,6.0,1,9
4.0,0.0,1,6
2.0,0.0,1,6
3.0,3.0,1,6
3.0,3.0,1,5
4.0,0.0,1,7
0.0,0.0,1,5
5.0,5.0,1,6
1.0,0.0,1,5
3.0,1.0,1,5
0.0,0.0,1,5
15.0,2.0,1,7
2.0,0.0,1,6
10.0,5.0,1,7
10.0,0.0,1,7
23.0,8.0,1,7
18.0,10.0,1,7
10.0,4.0,1,8
6.0,0.0,1,7
6.0,0.0,1,5
0.0,0.0,1,5
15.0,12.0,1,9
15.0,3.0,1,5
7.0,4.0,1,6
4.0,0.0,1,7
5.0,5.0,1,8
4.0,4.0,1,7
2.0,2.0,1,5
3.0,1.0,1,6
6.0,0.0,1,6
15.0,1.0,1,6
1.0,0.0,1,6
5.0,5.0,1,4
9.0,6.0,1,5
3.0,0.0,1,6
15.0,3.0,1,9
4.0,3.0,1,6
18.0,5.0,1,7
0.0,0.0,1,5
5.0,1.0,1,6
6.0,1.0,1,6
0.0,0.0,1,5
0.0,0.0,1,5
14.0,8.0,1,7
6.0,4.0,1,7
15.0,0.0,1,7
7.0,0.0,1,5
22.0,11.0,1,6
9.0,8.0,1,7
14.0,7.0,1,6
3.0,0.0,1,5
1.0,1.0,1,4
5.0,5.0,1,7
1.0,1.0,1,5
5.0,0.0,1,6
16.0,6.0,1,6
3.0,0.0,1,7
5.0,2.0,1,5
0.0,0.0,1,4
10.0,0.0,1,7
1.0,1.0,1,6
8.0,0.0,1,9
0.0,0.0,1,5
4.0,3.0,1,6
6.0,5.0,1,6
16.0,15.0,1,5
5.0,1.0,1,5
15.0,2.0,1,7
0.0,0.0,1,5
0.0,0.0,1,5
3.0,1.0,1,4
10.0,1.0,1,5
5.0,2.0,1,5
16.0,16.0,1,8
6.0,4.0,1,6
25.0,1.0,1,9
2.0,2.0,1,7
25.0,5.0,1,6
5.0,3.0,1,5
13.0,5.0,1,6
0.0,0.0,1,5
10.0,1.0,1,9
2.0,0.0,1,6
6.0,0.0,1,6
5.0,0.0,1,5
4.0,4.0,1,6
0.0,0.0,1,5
2.0,0.0,1,6
25.0,3.0,1,8
20.0,0.0,1,7
1.0,1.0,1,5
7.0,7.0,1,7
8.0,1.0,1,6
8.0,0.0,1,7
3.0,3.0,1,4
10.0,1.0,1,7
7.5,2.0,1,6
10.0,3.0,1,6
5.0,1.0,1,6
20.0,3.0,1,5
5.0,2.0,1,5
13.0,5.0,1,6
12.0,2.0,1,5
6.0,3.0,1,6
5.0,2.0,1,6
5.0,5.0,1,6
2.0,0.0,1,4
11.0,3.0,1,7
0.0,0.0,1,4
11.0,3.0,1,7
7.0,2.0,1,7
4.0,4.0,1,5
15.0,12.0,1,7
2.0,1.0,1,5
0.0,0.0,1,6
4.0,2.0,10,5
1.0,1.0,10,3
16.0,5.0,10,5
7.0,6.0,10,4
1.0,1.0,10,3
1.0,1.0,10,3
0.0,0.0,7,2
3.0,0.0,10,4
4.0,4.0,10,3
11.0,3.0,3,6
26.0,2.0,3,6
4.0,4.0,3,3
14.0,6.0,10,6
10.0,6.0,10,3
15.0,2.0,10,5
12.0,8.0,10,4
1.0,1.0,10,2
1.0,1.0,10,2
2.0,2.0,10,3
1.0,0.0,10,3
2.0,2.0,10,2
0.0,0.0,10,3
8.0,3.0,10,6
14.0,5.0,10,4
12.0,5.0,10,4
18.0,1.0,10,5
8.0,1.0,10,3
14.0,7.0,10,6
0.0,0.0,10,3
6.0,3.0,10,6
4.0,4.0,10,3
5.0,3.0,10,6
30.0,20.0,10,5
2.0,1.0,10,3
15.0,10.0,10,5
1.0,1.0,10,2
20.0,2.0,10,5
20.0,5.0,10,6
8.0,2.0,10,4
5.0,0.0,10,4
5.0,0.0,10,4
4.0,0.0,10,4
15.0,0.0,10,5
25.0,2.0,10,6
5.0,3.0,10,5
2.0,2.0,10,3
15.0,6.0,10,5
15.0,10.0,10,5
21.0,2.0,10,5
30.0,14.0,10,7
6.0,0.0,10,6
22.0,1.0,10,5
5.0,2.0,10,2
12.0,5.0,10,5
3.0,2.0,10,2
0.0,0.0,10,3
1.0,1.0,10,3
0.0,0.0,10,3
3.0,3.0,10,3
8.0,4.0,10,3
1.0,0.0,10,3
5.0,0.0,10,4
1.0,1.0,10,3
22.0,6.0,10,4
4.0,2.0,10,3
3.0,2.0,10,3
17.0,10.0,10,5
15.0,8.0,10,5
2.0,0.0,10,4
10.0,1.0,10,8
9.0,2.0,10,7
5.0,2.0,4,1
7.0,5.0,10,2
0.0,2.0,10,4
1.0,1.0,10,4
2.0,0.0,10,9
0.0,1.0,10,4
14.0,1.0,10,6
5.0,2.0,10,4
4.0,4.0,10,4
1.0,0.0,10,4
0.0,0.0,10,4
7.0,2.0,10,4
2.0,1.0,10,4
10.0,10.0,10,5
8.0,3.0,10,6
7.0,1.0,10,3
15.0,5.0,10,5
5.0,4.0,10,5
2.0,1.0,10,4
9.0,7.0,10,5
3.0,2.0,10,4
2.0,0.0,10,5
5.0,3.0,10,6
1.0,1.0,10,3
3.0,3.0,10,4
9.0,2.0,10,6
6.0,5.0,10,5
8.0,4.0,10,5
1.0,1.0,10,4
4.0,0.0,10,5
3.0,3.0,10,3
0.0,0.0,10,4
8.0,0.0,10,6
0.0,0.0,10,5
3.0,3.0,10,4
0.0,0.0,10,4
0.0,0.0,10,4
5.0,0.0,10,5
9.0,3.0,10,4
5.0,1.0,10,4
5.0,0.0,10,6
2.0,0.0,10,4
4.0,4.0,10,1
1.0,1.0,10,3
2.0,0.0,10,4
10.0,1.0,10,4
3.0,2.0,10,3
3.0,0.0,10,3
0.0,0.0,10,3
8.0,2.0,10,4
2.0,1.0,10,4
15.0,10.0,10,8
3.0,1.0,10,4
10.0,2.0,10,6
14.0,1.0,10,7
7.0,3.0,10,4
5.0,5.0,10,5
7.0,4.0,10,4
1.0,1.0,10,2
4.0,0.0,10,3
4.0,4.0,10,5
1.0,0.0,10,3
4.0,2.0,10,4
3.0,1.0,10,4
9.0,7.0,10,5
0.0,0.0,10,4
3.0,0.0,10,6
10.0,4.0,10,6
5.0,2.0,10,5
1.0,1.0,10,3
7.0,0.0,10,5
5.0,0.0,10,4
11.0,3.0,10,5
16.0,1.0,10,5
0.0,0.0,10,3
15.0,1.0,10,6
2.0,0.0,10,4
8.0,3.0,10,3
0.0,0.0,10,5
6.0,6.0,10,3
8.0,1.0,4,3
3.0,0.0,4,3
5.0,1.0,4,6
21.0,21.0,10,4
24.0,18.0,10,5
3.0,0.0,10,3
2.0,1.0,10,7
2.0,0.0,10,4
10.0,3.0,10,8
10.0,0.0,10,5
2.0,2.0,10,3
8.0,0.0,10,4
1.0,0.0,10,5
12.0,5.0,2,4
16.0,6.0,2,7
11.0,3.0,2,4
4.0,4.0,2,5
3.0,1.0,2,4
0.0,0.0,10,5
1.0,0.0,10,2
9.0,0.0,10,7
16.0,0.0,10,6
3.0,0.0,10,5
3.0,1.0,10,3
9.0,2.0,10,3
5.0,2.0,2,4
13.0,7.0,2,4
1.0,1.0,2,3
25.0,0.0,10,3
9.0,5.0,10,7
15.0,15.0,10,3
12.0,0.0,10,7
2.0,2.0,10,3
2.0,2.0,10,3
3.0,2.0,10,4
5.0,2.0,10,4
3.0,3.0,10,3
5.0,0.0,10,3
19.0,7.0,10,3
5.0,5.0,10,5
2.0,2.0,10,4
9.0,9.0,10,3
3.0,1.0,10,3
1.0,1.0,10,2
12.0,12.0,10,3
3.0,1.0,10,5
1.0,1.0,10,2
3.0,1.0,10,3
0.0,0.0,10,3
3.0,3.0,10,3
0.0,0.0,10,3
2.0,2.0,10,3
0.0,0.0,10,3
2.0,2.0,10,4
5.0,0.0,10,4
5.0,1.0,10,3
0.0,0.0,10,3
2.0,2.0,10,3
16.0,5.0,10,5
15.0,10.0,10,5
6.0,3.0,10,3
6.0,0.0,10,6
5.0,5.0,2,5
1.0,2.0,10,2
22.0,17.0,10,5
2.0,2.0,10,2
0.0,0.0,2,3
4.0,4.0,10,3
6.0,6.0,10,4
14.0,14.0,10,5
14.0,14.0,10,6
1.0,0.0,10,4
19.0,15.0,10,5
6.0,0.0,10,5
10.0,1.0,10,3
5.0,1.0,2,5
6.0,5.0,2,5
15.0,6.0,2,6
5.0,2.0,2,6
14.0,3.0,2,5
0.0,0.0,2,5
15.0,4.0,10,5
6.0,1.0,10,3
15.0,6.0,8,7
1.0,0.0,8,4
2.0,2.0,8,4
2.0,2.0,8,5
3.0,3.0,8,4
12.0,2.0,8,5
1.0,0.0,8,4
9.0,1.0,8,5
7.0,1.5,8,7
9.0,1.0,8,7
7.0,1.0,8,7
4.0,1.0,8,4
3.0,2.0,8,3
20.0,2.0,8,7
8.0,1.0,8,6
1.0,1.0,8,3
14.0,6.0,8,7
4.0,4.0,8,5
0.0,1.0,8,4
3.0,1.0,8,4
7.0,3.0,8,4
15.0,3.0,8,6
4.0,2.0,8,4
10.0,4.0,8,4
5.0,3.0,8,5
2.0,1.0,8,5
11.0,0.5,8,6
2.0,2.0,8,3
20.0,10.0,8,8
5.0,2.0,8,5
4.0,2.0,8,5
6.0,2.0,8,5
20.0,2.0,8,8
3.0,0.0,8,4
5.0,5.0,8,6
1.0,1.0,8,4
3.0,3.0,8,6
14.0,6.0,8,7
3.0,3.0,8,5
2.0,0.0,8,4
10.0,4.0,8,5
5.0,2.0,8,4
15.0,4.0,8,6
2.0,2.0,8,5
3.0,3.0,8,6
3.0,2.0,8,4
3.0,3.0,8,5
15.0,5.0,8,8
1.0,1.0,8,3
20.0,2.0,8,9
2.0,2.0,8,4
6.0,4.0,8,6
5.0,3.0,8,4
7.0,3.0,8,6
3.0,2.0,8,4
5.0,2.0,8,4
2.0,2.0,8,4
0.0,0.0,8,3
5.0,0.0,8,5
3.0,2.0,8,4
2.0,1.0,8,4
17.0,4.0,8,7
3.0,0.0,8,4
2.0,2.0,8,4
10.0,7.0,8,6
3.0,2.0,8,4
4.0,4.0,8,4
5.0,3.0,8,5
2.0,2.0,8,5
3.0,1.0,8,4
3.0,3.0,8,6
4.0,4.0,8,6
12.0,3.0,8,6
9.0,0.0,8,6
5.0,0.0,10,2
2.0,0.0,10,4
